date,close,volume,open,high,low
27-07-2018,1252.89,2415829,1289.12,1291.44,1244.495
26-07-2018,1285.5,2728721,1267.18,1287.4,1263
25-07-2018,1275.94,2514739,1252.62,1278.24,1249.05
24-07-2018,1258.15,5377827,1271,1275,1244.14
23-07-2018,1211,3229832,1195.66,1215.1,1192.01
20-07-2018,1197.88,1895052,1199.24,1210.765,1196.59
19-07-2018,1199.1,1898533,1206.65,1216.48,1197.7344
18-07-2018,1212.91,1943881,1208.53,1221.59,1204.56
17-07-2018,1213.08,2003793,1182.74,1218.76,1182
16-07-2018,1196.51,1331187,1203.81,1208.71,1193.4011
13-07-2018,1204.42,1630345,1202.8,1210.44,1195.29
12-07-2018,1201.26,2203976,1174.86,1201.986,1173.1
11-07-2018,1171.46,1660757,1155.62,1180.44,1155.3745
10-07-2018,1167.14,1058531,1169.99,1173.5,1162.56
09-07-2018,1167.28,1076709,1160,1167.93,1157.2345
06-07-2018,1155.08,1090371,1141.77,1156.2,1137.24
05-07-2018,1141.29,1426446,1124.6,1144.14,1123.12
03-07-2018,1116.28,822394,1149.42,1149.91,1114.43
02-07-2018,1142.11,1160102,1115.35,1142.99,1106.6
29-06-2018,1129.19,1576518,1132.31,1141.359,1127.02
28-06-2018,1126.78,1486166,1112.39,1134,1106.0724
27-06-2018,1116.94,1710210,1136,1146.21,1116.7
